Dataset,Model,Experiment,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC
UNSW,Random Forest,Intra-dataset,0.878,0.984,0.834,0.903,0.982,0.982 ± 0.001
UNSW,SVM,Intra-dataset,0.744,0.940,0.667,0.780,0.847,0.810 ± 0.001
UNSW,Decision Tree,Intra-dataset,0.863,0.968,0.826,0.891,0.969,0.968 ± 0.002
CICIDS,Random Forest,Intra-dataset,0.838,0.984,0.414,0.583,0.864,1.000 ± 0.000
CICIDS,SVM,Intra-dataset,0.778,0.844,0.230,0.362,0.909,0.911 ± 0.000
CICIDS,Decision Tree,Intra-dataset,0.866,0.928,0.552,0.693,0.781,0.998 ± 0.001
UNSW → CICIDS,Random Forest,Cross-dataset,0.687,0.131,0.026,0.043,0.316,N/A
UNSW → CICIDS,SVM,Cross-dataset,0.278,0.275,1.000,0.431,0.459,N/A
UNSW → CICIDS,Decision Tree,Cross-dataset,0.328,0.262,0.804,0.395,0.476,N/A
CICIDS → UNSW,Random Forest,Cross-dataset,0.319,0.000,0.000,0.000,0.236,N/A
CICIDS → UNSW,SVM,Cross-dataset,0.700,0.942,0.595,0.730,0.756,N/A
CICIDS → UNSW,Decision Tree,Cross-dataset,0.324,0.722,0.012,0.023,0.315,N/A
